ID_EQUIPO,ID_TIPO_EQ,TIPO_EQUIPO,ID_EMPRESA,NOMBRE_EQUIPO,MARCA,MODELO,SERIE,QR,FOTO,UBICACION,PERIODICIDAD
3ff30272,7,EQUIPOS DE FRIO,1011,CONGELADOR 6,Turbo air,,,,EQUIPOS_Images/3ff30272.FOTO.204841.jpg,SALA DE REFRIGERADORES,TRIMESTRAL
98bcbd0a,7,EQUIPOS DE FRIO,1011,CONGELADOR 9,Ventus,Vr2ps-1400E,,,EQUIPOS_Images/98bcbd0a.FOTO.172929.jpg,SALA DE REFRIGERADORES,TRIMESTRAL
63620760,7,EQUIPOS DE FRIO,1011,CONGELADOR 10,Ventus,Vr2ps-1-1400E,,,EQUIPOS_Images/63620760.FOTO.173041.jpg,SALA DE REFRIGERADORES,TRIMESTRAL
b211f1db,7,EQUIPOS DE FRIO,1011,MANTENEDOR 11 (UNA PUERTA),ROHS,YBL9313,,,EQUIPOS_Images/b211f1db.FOTO.172651.jpg,SALA DE REFRIGERADORES,TRIMESTRAL
d3e22c33,7,EQUIPOS DE FRIO,1011,MANTENEDOR 1 (CUATRO PUERTAS),S/M,,,,EQUIPOS_Images/d3e22c33.FOTO.173621.jpg,SALA DE REFRIGERADORES,TRIMESTRAL
484,7,EQUIPOS DE FRIO,1012,MANTENEDOR ROHS,Rohs,QB1.0L4,S/S,,EQUIPOS_Images/484.FOTO.145711.jpg,CASA HUÉSPEDES,TRIMESTRAL
2953,7,EQUIPOS DE FRIO,1012,CONGELADOR DOS PUERTAS,DAEWOO,FRS-Q522DA,,,EQUIPOS_Images/2953.FOTO.151340.jpg,CASA HUÉSPEDES,TRIMESTRAL
460,7,EQUIPOS DE FRIO,1012,COOLER UNA PUERTA,LG,LG-2502459,S/S,,EQUIPOS_Images/460.FOTO.161930.jpg,CASA HUÉSPEDES,TRIMESTRAL
1961,7,EQUIPOS DE FRIO,1013,CAMARA MANTENCION,S/M,,,,,NOVOTEL,TRIMESTRAL
2835,7,EQUIPOS DE FRIO,1015,Congelador dos puertas cocina piso 14,BOZZO,,,,EQUIPOS_Images/2835.FOTO.004603.jpg,CONGELADORES,TRIMESTRAL
1989,7,EQUIPOS DE FRIO,1015,Mantenedor repostero primer piso,Maigas,,,,EQUIPOS_Images/1989.FOTO.013556.jpg,MANTENEDOR,TRIMESTRAL
2761,7,EQUIPOS DE FRIO,1016,CÁMARA MANTENCION 7,DANFOSS,NTZ136A4LR1A,CB1006386494,,EQUIPOS_Images/2761.FOTO.155105.jpg,PATIO TRASERO ENREJADO,TRIMESTRAL
2506,7,EQUIPOS DE FRIO,1016,ANTECAMARA 11,S/M,,,,EQUIPOS_Images/2506.FOTO.143229.jpg,ANTECAMARA,TRIMESTRAL
583,7,EQUIPOS DE FRIO,1016,CAMARA CONGELADOS EQUIPO CINCO,TECHNOBLOCK,VTK1000YRM,103154,,EQUIPOS_Images/583.FOTO.154437.jpg,PATIO TRASERO,TRIMESTRAL
2978,7,EQUIPOS DE FRIO,1016,CÁMARA MANTENCION DOS EQUIPO 4,HISPANIA,HUC4502Z03,150307047,,EQUIPOS_Images/2978.FOTO.155829.jpg,PATIO TRASERO,TRIMESTRAL
1555,7,EQUIPOS DE FRIO,1016,CÁMARA MANTENCION UNO EQUIPO 9,Danfoss,NTZ136A4LR1B,,,EQUIPOS_Images/1555.FOTO.153736.jpg,LADO CALLE,TRIMESTRAL
2108,7,EQUIPOS DE FRIO,1016,CAMARA CONGELADOS EQUIPO SEIS,TECHNOBLOCK,VTK1000YRM,1031555,,EQUIPOS_Images/2108.FOTO.152637.jpg,PATIO TRASERO ENREJADO,TRIMESTRAL
473,7,EQUIPOS DE FRIO,1016,CAMARA MANTENCION UNO EQUIPO 10,Danfoss,NTZ136A4LR1A,,,EQUIPOS_Images/473.FOTO.153849.jpg,LADO CALLE,TRIMESTRAL
2943,7,EQUIPOS DE FRIO,1016,CÁMARA MANTENCION UNO EQUIPO 2,TECHNOBLOCK,TFH4540F,,,EQUIPOS_Images/2943.FOTO.154003.jpg,LADO CALLE,TRIMESTRAL
1225,7,EQUIPOS DE FRIO,1016,CAMARA MANTENCION UNO EQUIPO 1,TECHNOBLOCK,TFH4540F,,,EQUIPOS_Images/1225.FOTO.154059.jpg,LADO CALLE,TRIMESTRAL
554,7,EQUIPOS DE FRIO,1016,CAMARA MANTENCION DOS EQUIPO 3,HISPANIA,HUC4502Z03,150307048,,EQUIPOS_Images/554.FOTO.155758.jpg,PATIO TRASERO,TRIMESTRAL
2831,7,EQUIPOS DE FRIO,1017,CAMARA CONGELADOS,Danfoss,NTZ068A4LR1A,,,EQUIPOS_Images/2831.FOTO.175901.jpg,LIMACHE,TRIMESTRAL
2617,7,EQUIPOS DE FRIO,1017,CAMARA MANTENCION,Danfoss,MTZ36JG4BVE,,,EQUIPOS_Images/2617.FOTO.175958.jpg,LIMACHE,TRIMESTRAL
2865,13,CAMARA DESENGRASADORA,1018,CAMARA DESENGRASADORA,VICTHER,90 lts,S/S,,EQUIPOS_Images/2865.FOTO.021418.jpg,CASINO,FUERA CONTRATO
284,16,AIRE ACONDICIONADO,1019,DEPARTAMENTO 1,KENDAL,NZ ASM-18MDS,,,EQUIPOS_Images/284.FOTO.143814.jpg,BASE SAMU BELLOTO SUR,TRIMESTRAL
285,16,AIRE ACONDICIONADO,1019,DEPARTAMENTO 2,KENDAL,NZ ASM-18MDS,,,EQUIPOS_Images/285.FOTO.143843.jpg,BASE SAMU BELLOTO SUR,TRIMESTRAL
286,16,AIRE ACONDICIONADO,1019,BOX 4,KENDAL,12000 BTU,300,,,CESAM BELLOTO SUR,TRIMESTRAL
288,16,AIRE ACONDICIONADO,1019,SALA DE GUARDIA,KENDAL,12000 BTU,300,,,CESAM BELLOTO SUR,TRIMESTRAL
289,16,AIRE ACONDICIONADO,1019,BOX 6,KENDAL,12000 BTU,300,,,CESAM BELLOTO SUR,TRIMESTRAL
290,16,AIRE ACONDICIONADO,1019,DIRECCIÓN ,AROLITE,12000 BTU,489,,,CESAM BELLOTO SUR,TRIMESTRAL
291,16,AIRE ACONDICIONADO,1019,BOX 3,AROLITE,12000 BTU,489,,,CESAM BELLOTO SUR,TRIMESTRAL
292,16,AIRE ACONDICIONADO,1019,BOX 5,KENDAL,12000 BTU,489,,,CESAM BELLOTO SUR,TRIMESTRAL
293,16,AIRE ACONDICIONADO,1019,FARMACIA,KENDAL,12000 BTU,489,,,CESAM BELLOTO SUR,TRIMESTRAL
294,16,AIRE ACONDICIONADO,1019,TOMA DE MUESTRAS,CLARK ,9000 BTU,107,,,CESAM BELLOTO SUR,TRIMESTRAL
295,16,AIRE ACONDICIONADO,1019,OFICINA BOTIQUIN,KENDAL,12000 BTU,107,,,CESAM BELLOTO SUR,TRIMESTRAL
296,16,AIRE ACONDICIONADO,1019,BOTIQUIN,KENDAL,18000 BTU,107,,,CESAM BELLOTO SUR,TRIMESTRAL
297,16,AIRE ACONDICIONADO,1019,SEGUNDO PISO ,FRIGIDAIRE,18000 BTU,107,,,CESAM BELLOTO SUR,TRIMESTRAL
